Axe,Valeur_propre,Taux_inertie_%,Taux_cumule_%
F1,5.034749147010693,50.34749147010692,50.34749147010692
F2,2.3994942284927414,23.994942284927408,74.34243375503432
F3,1.153773794539163,11.537737945391628,85.88017170042595
F4,0.7737781238026278,7.737781238026277,93.61795293845222
F5,0.3543806024253294,3.543806024253294,97.16175896270552
F6,0.15395788240187203,1.53957882401872,98.70133778672424
F7,0.06741187227655604,0.6741187227655603,99.3754565094898
F8,0.044205824359607925,0.4420582435960792,99.81751475308587
F9,0.01824852469141035,0.18248524691410348,99.99999999999997
F10,-2.2495084617139877e-16,-2.2495084617139873e-15,99.99999999999997
