Boisson,Frut,Suc,Gt,Amr,Piq,Rug,Odr,Acd,Parf,Suff
Boisson 1,-0.019989731119156157,-0.12013878585271166,0.08097271679088791,-0.6802804518619245,1.060475249133729,0.24867427170754108,-1.178816589607299,1.594448149212112,-0.12905450092878443,-0.5101252774119623
Boisson 2,-0.7615442726362363,-0.8505279952981739,1.2055937833309969,-0.20762902128788302,1.4579760118612308,0.24867427170754108,-0.8068287648128303,-0.2662760490635928,-0.9333071878762823,0.1552555192123363
Boisson 3,0.25083888404360344,0.753597838530645,-1.0436483497492208,-0.20762902128788302,0.8475284119582814,-1.6163827660990149,-0.44766810639058496,-0.7154163727853151,0.8061230420334223,-0.3395148167390653
Boisson 4,1.1729458356691895,1.1426836790763588,-0.8862014004336056,-1.0516494330272435,-0.3591703320359218,-1.1582985813745985,-0.07568028159611626,-2.0949187956448885,1.6010239535512978,-1.4314217650456067
Boisson 5,-0.6648197672209648,-0.5092246263984251,1.2055937833309969,0.7545542480949875,0.45002764923077887,0.8049193531586191,0.4758878724094749,0.21494572635253742,-0.26933113237311535,1.1277351450478497
Boisson 6,-1.496650513792298,-0.8027455236522091,1.689180841943244,1.8517807833561566,0.2370808120553314,2.113731309514097,0.10390004761500615,0.21494572635253742,-1.2045086753353222,-0.3395148167390653
Boisson 7,0.9923934255606833,1.1426836790763588,-1.3697884590458524,-1.8956698447666038,-0.7708675505751206,-0.7002143966501807,-0.8068287648128303,1.3377965356568422,1.06797275406284,-0.5783694616811212
Boisson 8,-1.496650513792298,-2.0723940559592746,0.08097271679088791,0.28190281752094604,0.2370808120553314,0.24867427170754108,0.10390004761500615,0.21494572635253742,-1.2045086753353222,0.1552555192123363
Boisson 9,1.1278077331420635,0.753597838530645,-0.560061291136974,0.5182285328079672,-1.5800655318418215,0.24867427170754108,0.014109883009445517,-0.7154163727853151,1.06797275406284,-0.5783694616811212
Boisson 10,0.8956689201454121,0.5624679519467859,-0.4026143418213586,0.6363913904514781,-1.5800655318418215,-0.43845200537908485,2.6180246565707255,0.21494572635253742,-0.8023823318615733,2.3390694158254193
